globalIdentifier,definition,example,identifier,title,parentId,statusId,id,parent,note,denotation
797c9242-ddbe-49e2-9bca-d15775b14750,byggkonstruktion som formar horisontell avskiljning,,AC,Bjälklagskonstruktion,575566,0,575568,575566.0,"Det konstruktiva systemet AC avser hela bjälklagskonstruktionen med alla sina skikt. De bärande och stabiliserande byggdelarna kan redovisas i BC Bjälklagskonstruktion.

Vid behov särredovisas AP Undertakskonstruktion och AQ Golvkonstruktion, eventuellt också med BF Golvstomme.",
882a9a16-0206-4dc8-8d9b-6f8237ec1afa,bjälklagskonstruktion med kärna i form av ett homogent skikt,"Massivplatta, håldäck, plattbjälklag, plattbro, plattbärlag, plattrambro, trågbalkbro, filigranbjälklag
",AC10,Bjälklagskonstruktion med solid stomme,575568,0,311347,575568.0,,
fa605a3e-530e-4225-b516-7fddd696ff13,bjälklagskonstruktion med solid stomme av platsgjuten betong,"byggdelstyp 11
",AC11,Bjälklagskonstruktion med solid stomme av platsgjuten betong,311347,0,312670,311347.0,,
9344cc00-584e-4eb8-b378-6fcab001306b,bjälklagskonstruktion med solid stomme av prefabricerade element av betong,"byggdelstyp 31
",AC13,Bjälklagskonstruktion med solid stomme av prefabricerade element av betong,311347,0,312671,311347.0,,
ac8b1b30-934e-4262-abec-520061353b41,bjälklagskonstruktion med solid stomme av prefabricerade element av autoklaverad lättbetong,"byggdelstyp 32
",AC14,Bjälklagskonstruktion med solid stomme av prefabricerade element av autoklaverad lättbetong,311347,0,312672,311347.0,,
361f0a90-0c33-49b6-80b7-6aa0216cf989,bjälklagskonstruktion med solid stomme av prefabricerade element av lättklinkerbetong,"byggdelstyp 33
",AC15,Bjälklagskonstruktion med solid stomme av prefabricerade element av lättklinkerbetong,311347,0,312673,311347.0,,
5b2f06ed-d0f1-4208-a34e-9ef61653429b,bjälklagskonstruktion med solid stomme av prefabricerade element av trä,"byggdelstyp 35
",AC16,Bjälklagskonstruktion med solid stomme av prefabricerade element av trä,311347,0,312674,311347.0,,
44810033-9931-4cac-bf71-dd0c4803cb87,bjälklagskonstruktion med kärna i form av balkar,"Balkbjälklag, balkrambro, balkbro
",AC20,Bjälklagskonstruktion med balkstomme,575568,0,311349,575568.0,,
5a90734c-7350-4f8a-b3a9-f409d78d8551,bjälklagskonstruktion med balkstomme av platsgjuten betong,"byggdelstyp 11
",AC21,Bjälklagskonstruktion med balkstomme av platsgjuten betong,311349,0,312669,311349.0,,
b7fd887f-3741-446b-ace8-d0a7d7498bf3,bjälklagskonstruktion med balkstomme av murverk,byggdelstyp 21,AC22,Bjälklagskonstruktion med balkstomme av murverk,311349,0,312497,311349.0,,
d0f4509a-3d94-426f-83ae-5e6c87657a9a,bjälklagskonstruktion med balkstomme av prefebricerade element av betong,"byggdelstyp 31
",AC23,Bjälklagskonstruktion med balkstomme av prefebricerade element av betong,311349,0,312668,311349.0,,
b0f304ca-bd01-4276-9fb0-adfe3d385d34,bjälklagskonstruktion med balkstomme av prefabricerade element av stål,"byggdelstyp 34
",AC24,Bjälklagskonstruktion med balkstomme av prefabricerade element av stål,311349,0,312667,311349.0,,
4e1157ac-bdef-4c3c-a180-a16bbae92a50,bjälklagskonstruktion med balkstomme av prefabricerade element av trä,"byggdelstyp 35
",AC25,Bjälklagskonstruktion med balkstomme av prefabricerade element av trä,311349,0,312665,311349.0,,
78d24000-a483-4d5f-bc28-d8c72efe37ed,bjälklagskonstruktion med balkstomme av formvaror av trä,"byggdelstyp 42
",AC26,Bjälklagskonstruktion med balkstomme av formvaror av trä,311349,0,312666,311349.0,,
