globalIdentifier,definition,note,identifier,title,parentId,statusId,id,example,parent
f2c1f2a4-25a2-4329-8d50-4406ae9e66b5,luftbehandlingssystem som aktiveras vid oönskade nivåer av luftföroreningar,,J40,Nödventilationssystem,575555,0,311315,"Nödluftssystem
",575555.0
73707c54-b501-4b74-a34e-8d7dc2c4665c,installationssystem som ombesörjer kommunikation mellan personer eller tekniska system,"Det funktionella systemet M Informations- och kommunikationssystem omfattar det som tidigare benämndes tele- och datakommunikationssystem.

Kanalisation för informations- och kommunikationssystem ingår i S.BH Anordningar > Kanalisation.",M,Informations- och kommunikationssystem,575550,0,575558,"Bokningssystem, datanätverk, entrésignalsystem, fastighetsnät, kallelsesignaleringssystem, kösignalssystem, meddelandesystem, personkommunikationssystem, personsökningssystem, signalerande system, telefonisystem, resultatmarkeringssystem, tidsignaleringssystem, tidregistreringssystem",575550.0
fac08462-b600-447c-8adf-9b0a74eb266e,kommunikationssystem för datatrafik,,M10,Datanätverk,575558,0,311323,"lokalt nätverk, LAN
",575558.0
53ab6b11-839a-4365-84d1-434a8362a9d2,informations- och kommunikationssystem mellan människor,,M20,Personkommunikationssystem,575558,0,311324,,575558.0
899bb673-5791-468f-88f7-af80e1a6d218,personkommunikationssystem för dubbelriktad kommunikation,,M21,Telefonisystem,311324,0,312412,"hjälptelefonsystem, konferenssystem, nödtelefonsystem, porttelefonsystem, snabbtelefon, telefonsystem, telesystem, videokonferenssystem
",311324.0
665e27a1-b568-4c38-be80-c8cddb8edac3,personkommunikationssystem för enkelriktad överföring av ljud till specifika mottagare,,M22,Meddelandesystem,311324,0,312414,"ljudsystem, PA-system, skyltsystem, vägvisningssystem, orienteringssystem
",311324.0
8db7eeb8-4d5a-4e18-9ef8-f95a22e6c125,personkommunikationssystem för enkelriktad överföring av ljud och rörlig bild,,M23,Televisionssystem,311324,0,312384,,311324.0
060f797e-0dc1-4f8c-9cd7-ac0883efdf20,personkommunikationssystem för enkelriktad överföring av ljud till icke specifika mottagare,,M24,Radiosystem,311324,0,312385,,311324.0
95d9981c-6f40-4a83-b39d-e13f6e7318e8,informations- och kommunikationssystem för avgivande av signal,,M30,Signalerande system,575558,0,311325,,575558.0
687910f6-d670-48a6-a1da-866ccaf2194d,signalsystem för sökning av person,,M31,Personsökningssystem,311325,0,312404,,311325.0
55e505a6-2806-42d6-adab-45f18e94eeb2,signalsystem för behov av assistans,,M32,Kallelsesignaleringssystem,311325,0,312405,"RWC-larm, nödsignalssystem, överfallslarmsystem
",311325.0
b2065c15-759b-4b26-a137-2d4e2515fa04,signalsystem för bokning av resurs,,M33,Bokningssystem,311325,0,312407,,311325.0
afe49c3b-0a49-48bc-97c7-a88443acaf19,signalsystem för entrésignal,,M34,Entrésignalsystem,311325,0,312408,"Rumssignal
",311325.0
5f082137-2f52-482e-adfd-25efa1f88942,signalsystem för resultatmarkering,,M35,Resultatmarkeringssystem,311325,0,312409,,311325.0
e6330b10-8663-4a03-a03f-a0f722e4faae,signalsystem för kö,,M36,Kösignalssystem,311325,0,312411,"upptagetmarkering
",311325.0
956b0186-cb67-43cc-8da1-aeacd3ae3212,informations- och kommunikationssystem för tidgivning eller tidregistrering,,M40,Tidsrelaterat system,575558,0,311326,,575558.0
bba5cbfc-4855-47c3-b99d-bd3b2ee2ae85,tidsrelaterat system för signalering,,M41,Tidsignaleringssystem,311326,0,312399,"rastsignalsystem, tidgivningssystem, väckningssystem
",311326.0
b79fa0ab-ec70-453d-8387-75902cdec041,tidsrelaterat system för registrering,,M42,Tidregistreringssystem,311326,0,312401,"närvarotidsystem, tidredovisningssystem för sport
",311326.0
0d04e3c3-c282-43f7-b6ae-89765da9b82e,installationssystem som transporterar gods eller personer,"Det funktionella systemet N Transportsystem omfattar aktiv transport av människor och gods, till exempel hissar, rulltrappor, rullband, lyftar och rörpost.",N,Transportsystem,575550,0,575559,"hissystem, rulltrappssystem, godstransportsystem",575550.0
b061ce5e-2698-410a-8b34-bc4cd303a5f9,installationssystem som övervakar och/eller styr och reglerar tekniska system,"Det funktionella systemet L Automationssystem omfattar övergripande styrning, reglering och övervakning av byggnader och anläggningar. Andra funktionella system kan också ha egna sådana funktioner, som då ingår dess konstruktiva system LC Automationssystem. L är alltså ett överordnat system för ett eller flera LC.

Kanalisation för automation ingår i S.BH Anordningar > Kanalisation.",L,Automationssystem,575550,0,575557,"Styr- och reglersystem, styr- och övervakningssystem, SÖ-system, fastighetsautomationssystem, anläggnings- och driftledningssystem, trafikledningssystem",575550.0
850b19a8-462e-4be3-a733-2b5daafaca4a,automationssystem för byggnad,,L10,Fastighetsautomationssystem,575557,0,311319,"BMS, SCADA
",575557.0
82b555e9-b3c3-4dfe-a653-6c796ebb8f98,automationssystem för anläggning,,L20,Anläggnings- och driftledningssystem,575557,0,311320,,575557.0
9ec1c938-7d68-4f3f-b404-1550b7988e9c,automationssystem för trafikanläggning,,L30,Trafikledningssystem,575557,0,311321,,575557.0
36a733cc-f328-457f-b580-c0a56cdcfc64,automationssystem för industriell process,,L40,Processautomationssystem,575557,0,311342,,575557.0
